map_seed,level,model,goal_reached,number_of_steps,collision,out_of_bound
1,1,Pure Neural,False,5000,False,False
1,1,Neurosymbolic,True,2385,False,False
2,1,Pure Neural,True,653,False,False
2,1,Neurosymbolic,True,601,False,False
3,1,Pure Neural,True,643,False,False
3,1,Neurosymbolic,True,1053,False,False
4,1,Pure Neural,False,5000,False,False
4,1,Neurosymbolic,True,991,False,False
5,1,Pure Neural,False,5000,False,False
5,1,Neurosymbolic,True,1276,False,False
6,1,Pure Neural,False,5000,False,False
6,1,Neurosymbolic,True,2981,False,False
7,1,Pure Neural,True,3591,False,False
7,1,Neurosymbolic,True,895,False,False
8,1,Pure Neural,True,633,False,False
8,1,Neurosymbolic,True,1335,False,False
9,1,Pure Neural,True,1871,False,False
9,1,Neurosymbolic,True,1452,False,False
10,1,Pure Neural,False,5000,False,False
10,1,Neurosymbolic,True,2899,False,False
11,2,Pure Neural,False,5000,False,False
11,2,Neurosymbolic,True,861,False,False
12,2,Pure Neural,False,5000,False,False
12,2,Neurosymbolic,True,1880,False,False
13,2,Pure Neural,False,5000,False,False
13,2,Neurosymbolic,True,1963,False,False
14,2,Pure Neural,True,1163,False,False
14,2,Neurosymbolic,True,1325,False,False
15,2,Pure Neural,False,5000,False,False
15,2,Neurosymbolic,True,586,False,False
16,2,Pure Neural,False,5000,False,False
16,2,Neurosymbolic,True,3508,False,False
17,2,Pure Neural,True,1020,False,False
17,2,Neurosymbolic,True,1873,False,False
18,2,Pure Neural,False,5000,False,False
18,2,Neurosymbolic,True,2490,False,False
19,2,Pure Neural,False,5000,False,False
19,2,Neurosymbolic,True,1664,False,False
20,2,Pure Neural,True,1204,False,False
20,2,Neurosymbolic,True,1799,False,False
21,3,Pure Neural,False,5000,False,False
21,3,Neurosymbolic,True,1955,False,False
22,3,Pure Neural,False,5000,False,False
22,3,Neurosymbolic,True,1926,False,False
23,3,Pure Neural,False,5000,False,False
23,3,Neurosymbolic,True,1054,False,False
24,3,Pure Neural,True,1166,False,False
24,3,Neurosymbolic,True,1495,False,False
25,3,Pure Neural,False,5000,False,False
25,3,Neurosymbolic,True,956,False,False
26,3,Pure Neural,False,5000,False,False
26,3,Neurosymbolic,True,1208,False,False
27,3,Pure Neural,True,774,False,False
27,3,Neurosymbolic,True,1334,False,False
28,3,Pure Neural,True,721,False,False
28,3,Neurosymbolic,True,1004,False,False
29,3,Pure Neural,False,5000,False,False
29,3,Neurosymbolic,True,794,False,False
30,3,Pure Neural,True,548,False,False
30,3,Neurosymbolic,True,956,False,False
31,4,Pure Neural,True,1226,False,False
31,4,Neurosymbolic,True,932,False,False
32,4,Pure Neural,True,780,False,False
32,4,Neurosymbolic,True,1075,False,False
33,4,Pure Neural,True,687,False,False
33,4,Neurosymbolic,True,1824,False,False
34,4,Pure Neural,True,502,False,False
34,4,Neurosymbolic,True,635,False,False
35,4,Pure Neural,True,512,False,False
35,4,Neurosymbolic,True,4477,False,False
36,4,Pure Neural,True,346,False,False
36,4,Neurosymbolic,True,425,False,False
37,4,Pure Neural,False,5000,False,False
37,4,Neurosymbolic,True,1501,False,False
38,4,Pure Neural,True,644,False,False
38,4,Neurosymbolic,True,1791,False,False
39,4,Pure Neural,True,1203,False,False
39,4,Neurosymbolic,True,2065,False,False
40,4,Pure Neural,False,5000,False,False
40,4,Neurosymbolic,True,2419,False,False
