timestamp,obstacle_count,iteration,model,start_pos,goal_pos,success,collision,timeout,steps,final_distance,duration_seconds,obstacle_positions
2025-11-03T20:43:00.474941,1,1,Pure Neural,"[-3.0, -3.0, 1.0]","[1.9179966398300428, 0.3118729546998207, 1.0]",True,False,False,838,0.09547015048415759,10.022461891174316,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [1.2756221504319767, -0.9423759617661007, 1.0], 'size': [0.10244037928021649, 0.10817116167468122, 1.0], 'color': [0.49800284584725396, 0.5993710266771508, 0.4533512206401208, 1.0]}]"
2025-11-03T20:43:26.464366,1,1,Neurosymbolic,"[-3.0, -3.0, 1.0]","[1.9179966398300428, 0.3118729546998207, 1.0]",True,False,False,2353,0.09698989343094394,25.98929190635681,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [1.2756221504319767, -0.9423759617661007, 1.0], 'size': [0.10244037928021649, 0.10817116167468122, 1.0], 'color': [0.49800284584725396, 0.5993710266771508, 0.4533512206401208, 1.0]}]"
2025-11-03T20:44:21.653096,1,2,Pure Neural,"[3.0, 3.0, 1.0]","[2.548619243249023, -0.7442827024404508, 1.0]",False,False,True,5000,0.35835715905410603,55.18834114074707,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [-2.5304329272394965, -3.2866997858455207, 1.0], 'size': [0.08776957754112444, 0.05362623482619577, 1.0], 'color': [0.40462027039108506, 0.715266505029522, 0.8706677296323148, 1.0]}]"
2025-11-03T20:44:29.994695,1,2,Neurosymbolic,"[3.0, 3.0, 1.0]","[2.548619243249023, -0.7442827024404508, 1.0]",True,False,False,745,0.0934008074065961,8.341468095779419,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [-2.5304329272394965, -3.2866997858455207, 1.0], 'size': [0.08776957754112444, 0.05362623482619577, 1.0], 'color': [0.40462027039108506, 0.715266505029522, 0.8706677296323148, 1.0]}]"
2025-11-03T20:45:28.002950,1,3,Pure Neural,"[3.0, -3.0, 1.0]","[0.9280667387653887, 0.384516981835612, 1.0]",False,False,True,5000,0.3339312788766709,58.0078489780426,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-3.090344126680326, -3.2323671072852225, 1.0], 'size': [0.08066112754100896, 1.0], 'color': [0.48427906650802865, 0.1836595814105885, 0.7630744560604467, 1.0]}]"
2025-11-03T20:45:41.946069,1,3,Neurosymbolic,"[3.0, -3.0, 1.0]","[0.9280667387653887, 0.384516981835612, 1.0]",True,False,False,1177,0.09776803339444587,13.942983150482178,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-3.090344126680326, -3.2323671072852225, 1.0], 'size': [0.08066112754100896, 1.0], 'color': [0.48427906650802865, 0.1836595814105885, 0.7630744560604467, 1.0]}]"
2025-11-03T20:46:37.912305,1,4,Pure Neural,"[-3.0, 3.0, 1.0]","[-1.698324904294283, 0.12318045902400376, 1.0]",False,False,True,5000,0.2781499024888267,55.965877056121826,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [3.235416374186315, -0.6636135939170787, 1.0], 'size': [0.06515064353342237, 0.05172595658743312, 1.0], 'color': [0.710724783962248, 0.5222072908348241, 0.5102235211795397, 1.0]}]"
2025-11-03T20:46:53.586052,1,4,Neurosymbolic,"[-3.0, 3.0, 1.0]","[-1.698324904294283, 0.12318045902400376, 1.0]",True,False,False,1323,0.09640997224220132,15.673576831817627,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [3.235416374186315, -0.6636135939170787, 1.0], 'size': [0.06515064353342237, 0.05172595658743312, 1.0], 'color': [0.710724783962248, 0.5222072908348241, 0.5102235211795397, 1.0]}]"
2025-11-03T20:47:52.602747,1,5,Pure Neural,"[3.0, -3.0, 1.0]","[1.0445935695879118, 0.7766506038216661, 1.0]",False,False,True,5000,0.28262754538933305,59.015979051589966,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [3.3601826654024882, 2.8187247665141038, 1.0], 'size': [0.0908537497751438, 0.10332039238068408, 1.0], 'color': [0.2816234412315147, 0.5090554941324279, 0.6948009077546917, 1.0]}]"
2025-11-03T20:48:15.994450,1,5,Neurosymbolic,"[3.0, -3.0, 1.0]","[1.0445935695879118, 0.7766506038216661, 1.0]",True,False,False,2067,0.09931346272819244,23.39157199859619,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [3.3601826654024882, 2.8187247665141038, 1.0], 'size': [0.0908537497751438, 0.10332039238068408, 1.0], 'color': [0.2816234412315147, 0.5090554941324279, 0.6948009077546917, 1.0]}]"
