timestamp,obstacle_count,iteration,model,start_pos,goal_pos,success,collision,timeout,steps,final_distance,duration_seconds,error,obstacle_positions
2025-11-03T20:28:30.730092,1,6,Neurosymbolic,"[-3.0, -3.0, 1.0]","[1.3410116865278994, 1.7525956439843462, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-1.429271556182877, 3.4897695885730267, 1.0], 'size': [0.06501202886605757, 1.0], 'color': [0.42539847574473477, 0.7819307651946652, 0.2915414343277128, 1.0]}]"
2025-11-03T20:28:30.773785,1,7,Pure Neural,"[-3.0, -3.0, 1.0]","[-2.7023704054144506, -1.0155755052243103, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [3.3541039255690297, 3.094579362444029, 1.0], 'size': [0.10880845291288173, 0.05483978068975204, 1.0], 'color': [0.12187897159013339, 0.8403869393623625, 0.20854859669588732, 1.0]}]"
2025-11-03T20:28:30.815806,1,7,Neurosymbolic,"[-3.0, -3.0, 1.0]","[-2.7023704054144506, -1.0155755052243103, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [3.3541039255690297, 3.094579362444029, 1.0], 'size': [0.10880845291288173, 0.05483978068975204, 1.0], 'color': [0.12187897159013339, 0.8403869393623625, 0.20854859669588732, 1.0]}]"
2025-11-03T20:28:30.856646,1,8,Pure Neural,"[3.0, -3.0, 1.0]","[-2.8681141672515564, 2.6854657626729956, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [-2.79172395697068, -1.4726868250509326, 1.0], 'size': [0.0986537241449445, 0.07801165490542443, 1.0], 'color': [0.27534445308604144, 0.7645639178064745, 0.43276710223096326, 1.0]}]"
2025-11-03T20:28:30.902536,1,8,Neurosymbolic,"[3.0, -3.0, 1.0]","[-2.8681141672515564, 2.6854657626729956, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [-2.79172395697068, -1.4726868250509326, 1.0], 'size': [0.0986537241449445, 0.07801165490542443, 1.0], 'color': [0.27534445308604144, 0.7645639178064745, 0.43276710223096326, 1.0]}]"
2025-11-03T20:28:30.943542,1,9,Pure Neural,"[-3.0, 3.0, 1.0]","[-0.13184943283864925, 2.425482839148426, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [-0.7684353945951963, -2.9111573710210887, 1.0], 'size': [0.06171768375932174, 0.10704148580177675, 1.0], 'color': [0.6172607250887685, 0.1258963411341963, 0.6039250915553782, 1.0]}]"
2025-11-03T20:28:30.983954,1,9,Neurosymbolic,"[-3.0, 3.0, 1.0]","[-0.13184943283864925, 2.425482839148426, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [-0.7684353945951963, -2.9111573710210887, 1.0], 'size': [0.06171768375932174, 0.10704148580177675, 1.0], 'color': [0.6172607250887685, 0.1258963411341963, 0.6039250915553782, 1.0]}]"
2025-11-03T20:28:31.025302,1,10,Pure Neural,"[-3.0, 3.0, 1.0]","[-1.822259795558388, 0.5868163247923066, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [0.9663324504163003, 3.1572734992348512, 1.0], 'size': [0.07392648471870109, 0.06553154658141251, 1.0], 'color': [0.7086531407629156, 0.2429344839576988, 0.6358276421349423, 1.0]}]"
2025-11-03T20:28:31.065986,1,10,Neurosymbolic,"[-3.0, 3.0, 1.0]","[-1.822259795558388, 0.5868163247923066, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [0.9663324504163003, 3.1572734992348512, 1.0], 'size': [0.07392648471870109, 0.06553154658141251, 1.0], 'color': [0.7086531407629156, 0.2429344839576988, 0.6358276421349423, 1.0]}]"
2025-11-03T20:28:31.108076,2,1,Pure Neural,"[3.0, -3.0, 1.0]","[0.040988146277036286, -2.9148219964793447, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-3.232785091820604, -2.7993896849808886, 1.0], 'size': [0.11369301473178457, 1.0], 'color': [0.3892062743563768, 0.706696868733752, 0.8174205335186411, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [1.4486706997125505, 3.30463456447706, 1.0], 'size': [0.050505136895984355, 1.0], 'color': [0.7762544368068888, 0.4954209822443765, 0.4667888761084308, 1.0]}]"
