timestamp,episode,curriculum_level,episode_in_level,map_id,obstacle_count,start_x,start_y,start_z,goal_x,goal_y,goal_z,episode_reward,episode_length,termination_reason,goal_reached,collision_detected,out_of_bounds,final_position_x,final_position_y,final_position_z,goal_distance,final_velocity
2025-11-05 16:08:48.317,1,1,1,14,1,-3.0,-3.0,1.0,1.5503079717309953,-0.22669942812659905,1.0,510.93093988026345,913,goal_reached,True,False,False,1.4802838050486673,-0.1587483613618023,1.0,0.09757423529819911,0.6877386401565971
2025-11-05 16:08:48.998,2,1,2,18,1,3.0,3.0,1.0,2.777318946509057,0.5650268016107125,1.0,554.3456797825843,381,goal_reached,True,False,False,2.6913002385059377,0.6142127735988597,1.0,0.09908823324161511,0.43174415008136263
2025-11-05 16:08:49.579,3,2,1,35,2,-3.0,3.0,1.0,0.31609618551836327,2.7921098414917767,1.0,529.7515756608814,506,goal_reached,True,False,False,0.23431120207299375,2.7458876346109906,1.0,0.09394293973519005,0.7261261959961001
2025-11-05 16:08:50.321,4,2,2,33,2,3.0,-3.0,1.0,-0.7548281980551987,1.626392955667022,1.0,518.2510918689807,710,goal_reached,True,False,False,-0.7720659266738027,1.5295835041138222,1.0,0.09833213715749287,0.28912036296609295
2025-11-05 16:08:51.973,5,3,1,17,3,-3.0,3.0,1.0,1.806056127292523,-2.3806238560685857,1.0,580.808395550665,1783,goal_reached,True,False,False,1.739228991706611,-2.3066725382069033,1.0,0.09967278196226619,0.7559594005094395
2025-11-05 16:08:52.717,6,3,2,23,3,3.0,-3.0,1.0,-2.9115659601482076,-0.7153122355447725,1.0,324.45900979128777,786,goal_reached,True,False,False,-2.82127719537585,-0.7100198066944765,1.0,0.09044374410236214,1.0
2025-11-05 16:08:53.654,7,4,1,25,4,-3.0,3.0,1.0,0.7802011197801288,0.01347249157459629,1.0,531.8964805154333,857,goal_reached,True,False,False,0.697169211950517,0.05850726718418394,1.0,0.09445860856497451,0.8352459545136788
2025-11-05 16:08:54.362,8,4,2,15,4,3.0,-3.0,1.0,-1.816432625023799,-0.5466436456143349,1.0,527.6311709289937,595,goal_reached,True,False,False,-1.7208804278727445,-0.5683825112826943,1.0,0.09799388073211998,0.568064041378442
2025-11-05 16:08:54.806,9,5,1,20,5,3.0,3.0,1.0,1.2207621853805515,1.0722644465139473,1.0,498.2466334956446,370,goal_reached,True,False,False,1.2502418095734988,1.1674743839190438,1.0,0.09966935548722991,1.0
2025-11-05 16:08:55.798,10,5,2,47,5,3.0,-3.0,1.0,1.638319525798467,1.8296816995848229,1.0,-74.13061200978831,858,goal_reached,True,False,False,1.5402347630955202,1.8235684996214518,1.0,0.09827508274372275,0.8806397955831162
2025-11-05 16:08:56.868,11,6,1,32,6,-3.0,3.0,1.0,1.7973595835107314,-2.6929411713892564,1.0,-635.5214070131915,949,collision,False,True,False,0.5523838129778182,-1.0512631698787298,1.0,2.060357087948013,0.05036503853305518
2025-11-05 16:08:57.777,12,6,2,3,6,3.0,3.0,1.0,1.208258620816153,-1.0858783201642657,1.0,604.1829377440389,866,goal_reached,True,False,False,1.1343648044509973,-1.0187069560424293,1.0,0.09986134514914001,0.5803473948879694
2025-11-05 16:08:58.141,13,7,1,5,7,3.0,-3.0,1.0,0.8407034248340439,-2.0010614645587212,1.0,492.76781875624073,244,goal_reached,True,False,False,0.9211524028703726,-1.950637530018585,1.0,0.09494530658014455,1.0
2025-11-05 16:08:58.302,14,7,2,7,7,-3.0,-3.0,1.0,-2.1347655158440926,-0.72655400821353,1.0,-100,1,collision,False,True,False,-3.0036197950535044,-2.992585033268568,1.0,2.4268919145714944,0.8289861010345008
2025-11-05 16:08:58.945,15,8,1,34,8,3.0,-3.0,1.0,-0.6587287656582372,-1.0836692316588536,1.0,511.9561374254861,451,goal_reached,True,False,False,-0.5706498259864571,-1.0529914760007606,1.0,0.09326856011498595,1.0
2025-11-05 16:08:59.425,16,8,2,5,8,-3.0,-3.0,1.0,-2.13643122229759,-1.0560568068344514,1.0,439.6300960743442,277,goal_reached,True,False,False,-2.226016066111625,-1.0623263024073237,1.0,0.0898039576851895,1.0
2025-11-05 16:09:00.241,17,9,1,15,9,3.0,-3.0,1.0,1.698982748298258,0.3470700310725352,1.0,-8.830873968614611,582,goal_reached,True,False,False,1.6010811707985166,0.33770426243946255,1.0,0.09834854599345186,1.0
2025-11-05 16:09:01.458,18,9,2,9,9,-3.0,3.0,1.0,1.764074348025341,0.5520256692096721,1.0,546.3658366282268,1042,goal_reached,True,False,False,1.6797131354507173,0.6030452930997214,1.0,0.09858912824922898,1.0
2025-11-05 16:09:02.700,19,10,1,48,10,-3.0,3.0,1.0,2.285468782129956,1.3193136082036911,1.0,546.1166003929649,1003,goal_reached,True,False,False,2.186158196156599,1.3306414300626137,1.0,0.09995454984361189,1.0
2025-11-05 16:09:03.749,20,10,2,17,10,3.0,-3.0,1.0,-2.617826166377302,0.5400829249349464,1.0,527.6182478974316,807,goal_reached,True,False,False,-2.5284194129518953,0.5843099095477281,1.0,0.09974765022801654,0.9999999999999999
