map_seed,level,model,goal_reached,number_of_steps,collision,out_of_bound
46,5,Pure Neural,True,12380,False,False
46,5,Neurosymbolic,True,2294,False,False
46,5,AR_PPO,False,5000,False,False
47,5,Pure Neural,True,659,False,False
47,5,Neurosymbolic,True,1919,False,False
47,5,AR_PPO,False,5000,False,False
48,5,Pure Neural,False,5000,False,False
48,5,Neurosymbolic,True,3042,False,False
48,5,AR_PPO,False,5000,False,False
49,5,Pure Neural,True,3772,False,False
49,5,Neurosymbolic,True,2189,False,False
49,5,AR_PPO,True,2375,False,False
50,5,Pure Neural,False,5000,False,False
50,5,Neurosymbolic,True,1104,False,False
50,5,AR_PPO,True,1716,False,False
51,6,Pure Neural,False,5000,False,False
51,6,Neurosymbolic,True,7323,False,False
51,6,AR_PPO,False,5000,False,False
52,6,Pure Neural,True,1248,False,False
52,6,Neurosymbolic,True,1900,False,False
52,6,AR_PPO,False,5000,False,False
53,6,Pure Neural,False,5000,False,False
53,6,Neurosymbolic,True,2654,False,False
53,6,AR_PPO,True,861,False,False
54,6,Pure Neural,True,9384,False,False
54,6,Neurosymbolic,True,2062,False,False
54,6,AR_PPO,False,5000,False,False
55,6,Pure Neural,True,603,False,False
55,6,Neurosymbolic,True,2675,False,False
55,6,AR_PPO,True,508,False,False
56,6,Pure Neural,True,2245,False,False
56,6,Neurosymbolic,True,1491,False,False
56,6,AR_PPO,False,5000,False,False
57,6,Pure Neural,True,743,False,False
57,6,Neurosymbolic,True,1131,False,False
57,6,AR_PPO,False,5000,False,False
58,6,Pure Neural,True,725,False,False
58,6,Neurosymbolic,True,1020,False,False
58,6,AR_PPO,True,19901,False,False
59,6,Pure Neural,False,5000,False,False
59,6,Neurosymbolic,True,849,False,False
59,6,AR_PPO,True,19752,False,False
60,6,Pure Neural,True,805,False,False
60,6,Neurosymbolic,True,1716,False,False
60,6,AR_PPO,True,509,False,False
61,7,Pure Neural,True,1211,False,False
61,7,Neurosymbolic,True,2241,False,False
61,7,AR_PPO,False,5000,False,False
62,7,Pure Neural,True,1391,False,False
62,7,Neurosymbolic,True,1148,False,False
62,7,AR_PPO,False,5000,False,False
63,7,Pure Neural,False,5000,False,False
63,7,Neurosymbolic,True,1179,False,False
63,7,AR_PPO,False,5000,False,False
64,7,Pure Neural,True,659,False,False
64,7,Neurosymbolic,True,821,False,False
64,7,AR_PPO,True,616,False,False
65,7,Pure Neural,True,945,False,False
65,7,Neurosymbolic,True,1455,False,False
65,7,AR_PPO,False,5000,False,False
66,7,Pure Neural,False,5000,False,False
66,7,Neurosymbolic,True,1266,False,False
66,7,AR_PPO,False,5000,False,False
67,7,Pure Neural,False,5000,False,False
67,7,Neurosymbolic,True,1625,False,False
67,7,AR_PPO,False,5000,False,False
68,7,Pure Neural,True,472,False,False
68,7,Neurosymbolic,True,2786,False,False
68,7,AR_PPO,True,389,False,False
69,7,Pure Neural,False,5000,False,False
69,7,Neurosymbolic,True,1150,False,False
69,7,AR_PPO,True,1000,False,False
70,7,Pure Neural,True,1429,False,False
70,7,Neurosymbolic,True,1033,False,False
70,7,AR_PPO,True,557,False,False
71,8,Pure Neural,False,5000,False,False
71,8,Neurosymbolic,True,3217,False,False
71,8,AR_PPO,True,809,False,False
72,8,Pure Neural,False,5000,False,False
72,8,Neurosymbolic,True,2902,False,False
72,8,AR_PPO,False,5000,False,False
73,8,Pure Neural,False,5000,False,False
73,8,Neurosymbolic,True,1511,False,False
73,8,AR_PPO,True,3973,False,False
74,8,Pure Neural,True,17470,False,False
74,8,Neurosymbolic,True,1181,False,False
74,8,AR_PPO,False,5000,False,False
75,8,Pure Neural,True,1117,False,False
75,8,Neurosymbolic,True,1342,False,False
75,8,AR_PPO,False,5000,False,False
76,8,Pure Neural,False,5000,False,False
76,8,Neurosymbolic,True,3392,False,False
76,8,AR_PPO,True,967,False,False
77,8,Pure Neural,True,3233,False,False
77,8,Neurosymbolic,True,851,False,False
77,8,AR_PPO,True,636,False,False
78,8,Pure Neural,True,1753,False,False
78,8,Neurosymbolic,True,638,False,False
78,8,AR_PPO,False,5000,False,False
79,8,Pure Neural,True,1196,False,False
79,8,Neurosymbolic,True,2712,False,False
79,8,AR_PPO,False,5000,False,False
80,8,Pure Neural,False,5000,False,False
80,8,Neurosymbolic,True,1535,False,False
80,8,AR_PPO,False,5000,False,False
81,9,Pure Neural,False,5000,False,False
81,9,Neurosymbolic,True,2037,False,False
81,9,AR_PPO,True,946,False,False
82,9,Pure Neural,False,5000,False,False
82,9,Neurosymbolic,True,1182,False,False
82,9,AR_PPO,False,5000,False,False
83,9,Pure Neural,False,5000,False,False
83,9,Neurosymbolic,True,2054,False,False
83,9,AR_PPO,False,5000,False,False
84,9,Pure Neural,False,5000,False,False
84,9,Neurosymbolic,True,853,False,False
84,9,AR_PPO,True,543,False,False
85,9,Pure Neural,True,796,False,False
85,9,Neurosymbolic,True,889,False,False
85,9,AR_PPO,True,1337,False,False
86,9,Pure Neural,True,1680,False,False
86,9,Neurosymbolic,True,1457,False,False
86,9,AR_PPO,True,1165,False,False
87,9,Pure Neural,True,1237,False,False
87,9,Neurosymbolic,True,4818,False,False
87,9,AR_PPO,False,310,True,False
88,9,Pure Neural,False,5000,False,False
88,9,Neurosymbolic,True,986,False,False
88,9,AR_PPO,True,2964,False,False
89,9,Pure Neural,False,1772,True,False
89,9,Neurosymbolic,True,1832,False,False
89,9,AR_PPO,False,53,True,False
90,9,Pure Neural,True,957,False,False
90,9,Neurosymbolic,True,2485,False,False
90,9,AR_PPO,True,1985,False,False
91,10,Pure Neural,False,5000,False,False
91,10,Neurosymbolic,True,858,False,False
91,10,AR_PPO,False,5000,False,False
92,10,Pure Neural,False,5000,False,False
92,10,Neurosymbolic,False,6287,True,False
92,10,AR_PPO,False,48,True,False
93,10,Pure Neural,False,5000,False,False
93,10,Neurosymbolic,True,2182,False,False
93,10,AR_PPO,False,5000,False,False
